entity,n-revs
Cargo.lock,1647
crates/hir/src/lib.rs,941
editors/code/package.json,919
crates/rust-analyzer/src/config.rs,688
crates/rust-analyzer/src/main_loop.rs,509
crates/hir/src/semantics.rs,439
Cargo.toml,410
crates/ide/src/lib.rs,349
crates/rust-analyzer/src/reload.rs,343
crates/rust-analyzer/src/handlers.rs,333
crates/rust-analyzer/src/to_proto.rs,332
crates/ide/src/hover.rs,320
crates/ra_hir/src/code_model.rs,306
crates/rust-analyzer/src/global_state.rs,290
crates/hir/src/source_analyzer.rs,288
crates/ide/src/hover/tests.rs,277
crates/hir-ty/src/infer/expr.rs,272
editors/code/package-lock.json,268
crates/hir-ty/src/lower.rs,266
crates/hir-ty/src/infer.rs,266
editors/code/src/main.ts,266
crates/rust-analyzer/Cargo.toml,261
crates/ide/src/inlay_hints.rs,260
crates/ra_hir/src/lib.rs,260
crates/hir-def/src/nameres/collector.rs,256
crates/project-model/src/workspace.rs,256
docs/user/generated_config.adoc,255
editors/code/src/config.ts,253
crates/rust-analyzer/src/cli/analysis_stats.rs,250
crates/ra_hir/src/ty.rs,242
crates/hir-ty/src/display.rs,232
crates/ide/src/goto_definition.rs,224
crates/ra_hir/src/ty/tests.rs,223
crates/ra_hir/src/source_binder.rs,221
crates/hir-ty/src/mir/lower.rs,216
crates/syntax/src/ast/make.rs,214
crates/rust-analyzer/src/handlers/request.rs,213
crates/ra_lsp_server/src/main_loop/handlers.rs,212
crates/ra_hir/src/db.rs,211
crates/hir-def/src/lib.rs,210
crates/hir-ty/src/method_resolution.rs,198
crates/hir-ty/src/lib.rs,197
crates/ide/src/references.rs,195
crates/ide/src/runnables.rs,192
crates/hir-ty/src/mir/eval.rs,191
.github/workflows/ci.yaml,191
crates/hir-expand/src/lib.rs,189
crates/ide/src/syntax_highlighting.rs,187
docs/user/manual.adoc,186
crates/ide/src/doc_links.rs,186
crates/ide/src/hover/render.rs,180
crates/ide/src/syntax_highlighting/highlight.rs,178
crates/ide-completion/src/context.rs,176
crates/hir_def/src/nameres/collector.rs,174
editors/code/src/commands.ts,174
.github/workflows/release.yaml,173
crates/ide/src/syntax_highlighting/tests.rs,170
editors/code/src/ctx.ts,169
crates/hir-expand/src/db.rs,168
crates/hir-def/src/body/lower.rs,168
crates/ra_hir/src/ty/infer.rs,167
docs/dev/lsp-extensions.md,167
crates/hir/src/diagnostics.rs,164
crates/ide-completion/src/render.rs,164
crates/ide-assists/src/tests/generated.rs,161
crates/ide-completion/src/context/analysis.rs,158
crates/hir/src/display.rs,154
crates/mbe/src/syntax_bridge.rs,154
crates/syntax/src/ast/node_ext.rs,153
crates/rust-analyzer/src/bin/main.rs,153
crates/ide-diagnostics/src/lib.rs,152
crates/ra_syntax/src/ast/generated.rs,151
crates/hir_ty/src/infer/expr.rs,150
editors/code/src/client.ts,150
crates/ra_analysis/src/imp.rs,150
crates/hir_ty/src/lower.rs,149
crates/ra_hir/src/code_model_api.rs,149
crates/ra_hir/src/expr.rs,149
crates/hir-def/src/item_tree.rs,146
crates/hir-def/src/resolver.rs,144
crates/hir-ty/src/infer/closure.rs,144
crates/syntax/Cargo.toml,143
crates/ide/src/static_index.rs,142
crates/ra_lsp_server/src/main_loop.rs,140
crates/ra_assists/src/lib.rs,140
crates/ide/src/highlight_related.rs,140
crates/ide-assists/src/utils.rs,140
crates/ra_ide/src/syntax_highlighting.rs,139
crates/test-utils/src/minicore.rs,137
crates/base-db/src/input.rs,136
crates/hir_ty/src/lib.rs,135
crates/ra_hir_def/src/body/lower.rs,134
crates/ra_hir_def/src/nameres/collector.rs,133
crates/syntax/src/ast/generated/nodes.rs,131
crates/ra_syntax/src/grammar.ron,131
crates/flycheck/src/lib.rs,130
crates/hir-ty/src/layout.rs,130
crates/ra_hir/src/nameres.rs,129
crates/ide-db/src/search.rs,129
crates/rust-analyzer/src/lsp/to_proto.rs,128
crates/ide-assists/src/lib.rs,128
crates/ide_completion/src/context.rs,128
crates/hir-ty/src/db.rs,127
crates/hir-def/src/db.rs,127
crates/hir_ty/src/display.rs,126
crates/hir-def/src/data.rs,125
crates/hir-def/src/nameres.rs,125
crates/hir/src/semantics/source_to_def.rs,125
crates/ide/src/rename.rs,124
crates/ra_analysis/src/lib.rs,124
crates/load-cargo/src/lib.rs,124
crates/hir-ty/src/tests/traits.rs,123
crates/ra_project_model/src/lib.rs,122
crates/hir-def/src/item_tree/lower.rs,122
crates/ra_ide/src/hover.rs,122
crates/hir-ty/src/infer/unify.rs,122
crates/ide-assists/src/handlers/extract_function.rs,121
crates/ra_syntax/src/ast/generated/nodes.rs,119
crates/ra_hir/src/ids.rs,119
crates/hir-def/src/attr.rs,119
crates/ra_ide_api/src/lib.rs,117
crates/hir_expand/src/lib.rs,116
crates/mbe/src/lib.rs,116
docs/dev/README.md,116
crates/ra_hir_def/src/lib.rs,115
crates/hir-ty/src/tests/regression.rs,115
crates/project-model/src/cargo_workspace.rs,114
crates/hir-ty/src/chalk_db.rs,114
crates/rust-analyzer/src/lsp_ext.rs,113
crates/hir-ty/src/utils.rs,112
crates/hir-ty/src/consteval/tests.rs,112
crates/ide-db/src/lib.rs,111
editors/code/src/lsp_ext.ts,111
crates/ra_ide/src/lib.rs,111
crates/hir_def/src/attr.rs,110
crates/ra_syntax/src/ast.rs,110
crates/ra_hir/src/ty/lower.rs,110
crates/ide/src/expand_macro.rs,110
crates/project-model/src/tests.rs,109
crates/ra_mbe/src/syntax_bridge.rs,109
crates/rust-analyzer/tests/slow-tests/main.rs,109
crates/hir_expand/src/db.rs,109
crates/hir-ty/Cargo.toml,109
crates/hir-ty/src/diagnostics/expr.rs,108
crates/hir_ty/src/infer.rs,107
crates/hir-ty/src/consteval.rs,106
crates/syntax/src/ast/edit_in_place.rs,106
xtask/src/ast_src.rs,106
crates/hir-def/src/body.rs,106
